Date,Power in kW,Last Hour Power in kW,Temperature in °C,Humidity in %,Solar Radiation in W/m^2
2017-06-16 05:00:00,146.6663471,143.4992195,16.785833333333333,72.625,27.977999999999998
2017-06-16 06:00:00,161.6735757,146.6663471,17.94666666666667,69.665,165.29166666666666
2017-06-16 07:00:00,195.2848534,161.6735757,19.266666666666666,64.33833333333332,346.1666666666667
2017-06-16 08:00:00,246.992837,195.2848534,20.815833333333334,58.39166666666667,533.3249999999999
2017-06-16 09:00:00,327.6338247,246.992837,24.67,46.91166666666667,702.4416666666666
2017-06-16 10:00:00,370.3115598,327.6338247,27.139166666666668,41.47083333333333,831.75
2017-06-16 11:00:00,378.1881467,370.3115598,29.263333333333332,36.37083333333333,912.5
2017-06-16 12:00:00,348.8658446,378.1881467,30.8225,31.709166666666665,942.5
2017-06-16 13:00:00,374.1880051,348.8658446,34.2425,22.876666666666665,921.4166666666666
2017-06-16 14:00:00,453.6893543,374.1880051,34.41166666666667,24.579166666666666,850.0833333333334
2017-06-16 15:00:00,446.0651832,453.6893543,33.68083333333333,24.58,741.3416666666667
2017-06-16 16:00:00,390.2888262,446.0651832,32.59916666666667,24.78833333333333,591.7833333333333
2017-06-16 17:00:00,296.3725674,390.2888262,31.645833333333332,25.511666666666667,408.1583333333333
2017-06-16 18:00:00,211.0480736,296.3725674,30.000833333333333,26.930000000000003,215.95833333333334
2017-06-16 19:00:00,167.946506,211.0480736,28.247500000000002,27.1775,55.29333333333333
2017-06-16 20:00:00,144.9440174,167.946506,27.434166666666666,27.070000000000004,1.9918333333333333
2017-06-16 21:00:00,138.7705046,144.9440174,27.46666666666667,24.180000000000003,0.9844166666666666
2017-06-16 22:00:00,124.0433194,138.7705046,26.499166666666667,27.477500000000003,0.97525
2017-06-16 23:00:00,116.0147807,124.0433194,24.68,39.38,0.0
2017-06-17 00:00:00,115.5036701,116.0147807,24.660833333333333,38.281666666666666,0.0
2017-06-17 01:00:00,113.9965008,115.5036701,26.194999999999997,28.105833333333333,0.0
2017-06-17 02:00:00,113.6383885,113.9965008,25.61,33.0875,0.0
2017-06-17 03:00:00,112.4623318,113.6383885,23.043333333333333,47.333333333333336,0.0
2017-06-17 04:00:00,111.5625511,112.4623318,23.349166666666665,42.9675,0.0
2017-06-17 05:00:00,113.074325,111.5625511,25.166666666666668,32.825833333333335,23.668083333333332
2017-06-17 06:00:00,115.1844876,113.074325,27.1975,25.605833333333333,168.1833333333333
2017-06-17 07:00:00,113.8388979,115.1844876,23.409166666666664,50.64833333333333,344.23333333333335
2017-06-17 08:00:00,114.2114519,113.8388979,26.636666666666667,37.045,529.9666666666667
2017-06-17 09:00:00,124.487454,114.2114519,28.996666666666666,27.65833333333333,694.2083333333334
2017-06-17 10:00:00,126.4971526,124.487454,32.049166666666665,20.9975,828.3333333333334
2017-06-17 11:00:00,128.2362263,126.4971526,35.035833333333336,20.0,924.1666666666666
2017-06-17 12:00:00,132.13109,128.2362263,35.83833333333333,20.0,942.1333333333333
2017-06-17 13:00:00,135.1625912,132.13109,37.1675,20.0,971.6666666666666
2017-06-17 14:00:00,136.6988532,135.1625912,38.012499999999996,20.0,869.4166666666666
2017-06-17 15:00:00,137.3244509,136.6988532,38.708333333333336,20.0,753.775
